JARVIS3_synthetic,1,10MB,11662542000,180285440,.123,.123,0,5096.10,71424,423.71,71040,0,0
JARVIS3_synthetic,1,100MB,11662542000,116490240,.079,.079,0,5114.28,93312,394.02,93056,0,0
JARVIS3_synthetic,1,1GB,11662542000,109701120,.075,.075,0,5041.79,312960,417.71,312576,0,0
JARVIS3_synthetic,2,10MB,11662542000,180480000,.123,.123,0,5006.40,71424,432.21,71040,0,0
JARVIS3_synthetic,2,100MB,11662542000,116510720,.079,.079,0,5041.77,93312,394.22,93056,0,0
JARVIS3_synthetic,2,1GB,11662542000,109701120,.075,.075,0,5011.81,312704,433.35,312576,0,0
JARVIS3_synthetic,5,10MB,11662542000,180643840,.123,.123,0,4940.83,71424,459.74,71040,0,0
JARVIS3_synthetic,5,100MB,11662542000,116520960,.079,.079,0,4917.25,93184,437.53,93056,0,0
JARVIS3_synthetic,5,1GB,11662542000,109711360,.075,.075,0,4893.87,312960,468.18,312576,0,0
JARVIS3_synthetic,8,10MB,11662542000,155054080,.106,.106,0,5256.10,732800,invalid,918.00,1,0
JARVIS3_synthetic,8,100MB,11662542000,108881920,.074,.074,0,5117.28,814208,invalid,751.52,1,0
JARVIS3_synthetic,8,1GB,11662542000,109752320,.075,.075,0,5021.02,1033856,877.38,1033472,0,0
