JARVIS3_-fasta_analysis,1,10MB,11662542000,129177600,.123,.088,28.400,5066.72,71424,432.67,71040,0,0
JARVIS3_-fasta_analysis,1,100MB,11662542000,111656960,.079,.076,4.200,5069.78,93312,393.75,93056,0,0
JARVIS3_-fasta_analysis,1,1GB,11662542000,109568000,.075,.075,.200,4985.56,312960,420.88,312704,0,0
JARVIS3_-fasta_analysis,2,10MB,11662542000,129198080,.123,.088,28.500,4989.73,71424,412.84,71040,0,0
JARVIS3_-fasta_analysis,2,100MB,11662542000,111667200,.079,.076,4.200,4810.47,93312,397.73,93056,0,0
JARVIS3_-fasta_analysis,2,1GB,11662542000,109568000,.075,.075,.200,4991.64,312960,425.90,312704,0,0
JARVIS3_-fasta_analysis,5,10MB,11662542000,129208320,.123,.088,28.500,5011.55,71424,475.78,71040,0,0
JARVIS3_-fasta_analysis,5,100MB,11662542000,111656960,.079,.076,4.200,4985.63,93440,438.44,93056,0,0
JARVIS3_-fasta_analysis,5,1GB,11662542000,109547520,.075,.075,.200,5008.88,312832,464.53,312704,0,0
JARVIS3_-fasta_analysis,8,10MB,11662542000,124211200,.106,.085,19.900,5262.48,718848,invalid,911.16,1,0
JARVIS3_-fasta_analysis,8,100MB,11662542000,106782720,.074,.073,2.000,5199.67,814208,invalid,759.22,1,0
JARVIS3_-fasta_analysis,8,1GB,11662542000,100126720,.075,.068,8.800,5141.83,1033856,invalid,841.73,1,0
